word,frequency
citizens,3
wrap,3
greatness,3
lays,3
proves,3
soot,3
chopping,3
[to,3
studied,3
refrain,3
everywhere,3
valued,3
allowed,3
winter,3
natural,3
pulled,3
troubled,3
workmanship,3
axe,3
robe,3
anchialus,3
unrecorded,3
phantom,3
escorts,3
memories,3
bristles,3
gleam,3
desert,3
phoenicians,3
carver,3
fleetest,3
tight,3
spirit,3
cable,3
laying,3
samos,3
depart,3
singlehanded,3
knocked,3
male,3
autumn,3
roots,3
propose,3
courses,3
missed,3
darling,3
salute,3
belief,3
risen,3
wedded,3
oxhide,3
pisenor,3
ceasing,3
compass,3
unpick,3
overboard,3
awake,3
admire,3
hoping,3
clasped,3
private,3
curious,3
temple,3
concealed,3
concealment,3
sides,3
ivywood,3
walked,3
diomed,3
mixing,3
continued,3
waning,3
henceforth,3
torchlight,3
bliss,3
thin,3
counted,3
whither,3
strode,3
hindering,3
assumed,3
affliction,3
blows,3
false,3
gently,3
astride,3
laestrygonian,3
principal,3
loth,3
bonds,3
packed,3
streams,3
javelin,3
glaring,3
command,3
goings,3
bedding,3
hiding,3
sister,3
swimming,3
mere,3
naturally,3
bearing,3
behold,3
compete,3
oldest,3
lemnos,3
sped,3
angrily,3
insult,3
consent,3
damages,3
rocky,3
lawless,3
delicious,3
guile,3
pisander,3
enjoyed,3
steal,3
foes,3
duties,3
aid,3
exile,3
sheltered,3
raid,3
swell,3
hang,3
thy,3
whichever,3
athletic,3
congratulate,3
peer,3
herdsmen,3
absent,3
gather,3
perceived,3
antiphus,3
roaring,3
marked,3
bullock,3
club,3
breeds,3
despair,3
staircase,3
grandson,3
crept,3
counsellor,3
fling,3
lineage,3
avoided,3
shows,3
flowers,3
soiled,3
breakfast,3
recover,3
fifth,3
trojan,3
celebrate,3
burst,3
hussies,3
exploit,3
punished,3
trick,3
valuable,3
ruler,3
uneasy,3
intolerable,3
removing,3
seethed,3
fraud,3
shamefaced,3
fence,3
lesbos,3
tracks,3
hurry,3
offended,3
crafty,3
actually,3
fully,3
stopped,3
wisest,3
dirt,3
scouts,3
seafaring,3
scheme,3
bride,3
breadbasket,3
hovered,3
plough,3
plausible,3
thongs,3
protector,3
empty,3
bidding,3
pack,3
wings,3
rug,3
abroad,3
ordered,3
willed,3
wished,3
thundered,3
farms,3
watered,3
brooch,3
phoenician,3
wit,3
shrift,3
furiously,3
ills,3
measure,3
quality,3
bears,3
claim,3
clytemnestra,3
sprinkled,3
dangerous,3
wheatgrowing,3
sorely,3
spared,3
shameless,3
forgotten,3
magician,3
clouded,3
liking,3
gain,3
sprinkling,3
stag,3
betters,3
vast,3
helmets,3
fairly,3
damastor,3
eyebrows,3
gilding,3
diocles,3
personal,3
sceptre,3
skins,3
surprise,3
silly,3
alarm,3
explain,3
wearing,3
proteus,3
warrior,3
sheepskins,3
gathering,3
delight,3
dearly,3
ethiopians,3
bold,3
burn,3
anointing,3
paunch,3
chooses,3
landing,3
myrmidons,3
daily,3
nectar,3
guardian,3
detest,3
shook,3
phorcys,3
mentes,3
seizing,3
flayed,3
ours,3
cheese,3
dash,3
clung,3
shocked,3
mettle,3
bleating,3
moons,3
source,3
eighteenth,3
across,3
baths,3
cretans,3
bags,3
phaecian,3
struggling,3
heavier,3
aiming,3
phoenicia,3
epeans,3
cables,3
fruitless,3
grudge,3
starting,3
defence,3
mule,3
chieftain,3
helmsman,3
reviled,3
recall,3
sacred,3
stir,3
infant,3
pens,3
bosom,3
obeyed,3
malea,3
token,3
exquisite,3
seagulls,3
pains,3
aged,3
common,3
folding,3
fleeces,3
pierce,3
proved,3
husbands,3
spent,3
shape,3
shouting,3
scowled,3
overhanging,3
knock,3
follows,3
errand,3
grave,3
necks,3
prevail,3
soninlaw,3
heir,3
prepared,3
notion,3
atlas,3
bleeding,3
quaked,3
climb,3
names,3
holds,3
aft,3
buildings,3
embers,3
kindness,3
vouchsafes,3
nobody,3
vouchsafed,3
throat,3
savages,3
thicket,3
